1025,5X,YUL,WRL,23:38:00,11:24:00,01:21:00,5X1025
1033,5X,YUL,MDT,15:12:00,03:55:00,02:49:00,5X1033
1077,5X,YUL,SHR,09:24:00,03:41:00,02:01:00,5X1077
1131,5X,YUL,CNF,03:02:00,15:45:00,01:55:00,5X1131
1166,5X,YUL,MAA,07:14:00,04:31:00,01:16:00,5X1166
1173,5X,YUL,MSL,07:28:00,15:22:00,02:10:00,5X1173
122,5X,YUL,SEN,06:52:00,14:30:00,01:58:00,5X122
1222,5X,YUL,ATH,16:27:00,08:12:00,01:46:00,5X1222
1257,5X,YUL,AUA,06:22:00,18:04:00,01:47:00,5X1257
1314,5X,YUL,LGB,03:09:00,23:00:00,01:01:00,5X1314
1349,5X,YUL,ALY,08:39:00,17:08:00,02:01:00,5X1349
1365,5X,YUL,DNR,06:25:00,20:51:00,01:33:00,5X1365
1406,5X,YUL,JED,05:33:00,05:22:00,01:30:00,5X1406
1446,5X,YUL,MKY,03:10:00,20:30:00,01:22:00,5X1446
1516,5X,YUL,YKM,08:57:00,19:40:00,01:57:00,5X1516
153,5X,YUL,ASU,09:15:00,16:17:00,02:55:00,5X153
1593,5X,YUL,ADY,13:09:00,21:35:00,01:02:00,5X1593
1606,5X,YUL,LNZ,06:02:00,11:53:00,02:43:00,5X1606
1632,5X,YUL,TIF,00:31:00,03:35:00,01:15:00,5X1632
1699,5X,YUL,MPL,13:11:00,14:36:00,01:38:00,5X1699
17,5X,YUL,SCF,01:43:00,12:46:00,01:21:00,5X17
1824,5X,YUL,NUE,20:32:00,04:19:00,01:06:00,5X1824
1837,5X,YUL,CPH,07:55:00,05:24:00,01:23:00,5X1837
1853,5X,YUL,BDU,05:44:00,08:26:00,02:16:00,5X1853
1856,5X,YUL,OUK,16:18:00,15:26:00,01:22:00,5X1856
1907,5X,YUL,SAP,02:12:00,20:51:00,01:02:00,5X1907
1931,5X,YUL,BKO,12:41:00,21:33:00,01:43:00,5X1931
198,5X,YUL,AYW,14:56:00,02:42:00,01:52:00,5X198
2031,5X,TFN,YUL,01:45:00,08:28:00,01:55:00,5X2031
2090,5X,BJL,YUL,09:30:00,19:32:00,01:56:00,5X2090
2111,5X,SPI,YUL,02:10:00,18:41:00,01:57:00,5X2111
2152,5X,YLR,YUL,22:24:00,19:18:00,01:25:00,5X2152
2160,5X,AJF,YUL,07:27:00,12:39:00,02:30:00,5X2160
2267,5X,REK,YUL,07:03:00,04:04:00,02:18:00,5X2267
2304,5X,BKL,YUL,12:37:00,20:53:00,01:47:00,5X2304
2354,5X,UPG,YUL,09:47:00,20:43:00,01:05:00,5X2354
2359,5X,SLZ,YUL,02:39:00,23:47:00,01:58:00,5X2359
251,5X,YUL,SOU,14:30:00,09:52:00,02:29:00,5X251
2543,5X,APF,YUL,07:17:00,00:00:00,02:38:00,5X2543
2550,5X,BWI,YUL,12:25:00,03:53:00,02:07:00,5X2550
2635,5X,KGL,YUL,13:54:00,01:32:00,02:07:00,5X2635
2669,5X,UMR,YUL,05:40:00,16:35:00,02:27:00,5X2669
2700,5X,OSM,YUL,01:46:00,17:18:00,01:35:00,5X2700
2848,5X,GPA,YUL,01:23:00,19:49:00,01:21:00,5X2848
2955,5X,KOJ,YUL,18:05:00,14:56:00,01:48:00,5X2955
3031,5X,VFA,YUL,06:44:00,16:16:00,02:49:00,5X3031
3089,5X,BTS,YUL,08:37:00,11:32:00,01:17:00,5X3089
3133,5X,TFS,YUL,20:14:00,00:41:00,02:33:00,5X3133
3164,5X,SPS,YUL,03:27:00,00:13:00,01:08:00,5X3164
3186,5X,YKM,YUL,02:15:00,10:27:00,02:18:00,5X3186
3206,5X,GTN,YUL,22:55:00,19:34:00,02:43:00,5X3206
3232,5X,TSB,YUL,12:08:00,20:25:00,02:03:00,5X3232
3241,5X,AHN,YUL,03:56:00,09:44:00,01:42:00,5X3241
3248,5X,SDJ,YUL,10:38:00,20:26:00,02:02:00,5X3248
3283,5X,CVG,YUL,13:56:00,21:02:00,01:41:00,5X3283
3313,5X,KCH,YUL,12:58:00,04:24:00,01:19:00,5X3313
3325,5X,PIH,YUL,14:35:00,06:27:00,02:05:00,5X3325
3333,5X,WRE,YUL,09:19:00,14:43:00,01:17:00,5X3333
3386,5X,AJU,YUL,17:08:00,23:49:00,02:11:00,5X3386
3460,5X,JST,YUL,03:22:00,02:02:00,01:13:00,5X3460
3535,5X,SAN,YUL,19:41:00,02:50:00,02:58:00,5X3535
3580,5X,JNA,YUL,05:58:00,04:30:00,01:32:00,5X3580
371,5X,YUL,YQX,18:00:00,15:33:00,01:39:00,5X371
3749,5X,TRS,YUL,11:14:00,20:49:00,01:02:00,5X3749
3773,5X,SHE,YUL,00:45:00,06:29:00,02:22:00,5X3773
3840,5X,KOA,YUL,05:54:00,19:25:00,01:23:00,5X3840
3848,5X,DYA,YUL,08:47:00,08:28:00,01:21:00,5X3848
3900,5X,MZF,YUL,21:55:00,19:22:00,01:16:00,5X3900
3976,5X,JOI,YUL,08:54:00,17:04:00,02:22:00,5X3976
3982,5X,KHJ,YUL,00:00:00,13:41:00,01:42:00,5X3982
414,5X,YUL,TRF,11:46:00,14:43:00,02:46:00,5X414
609,5X,YUL,DOD,12:38:00,03:04:00,01:10:00,5X609
838,5X,YUL,HUH,00:01:00,13:58:00,01:06:00,5X838
871,5X,YUL,NNG,03:02:00,21:21:00,01:55:00,5X871
